# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
1                      10.18
2                      20.43
4                      40.52
8                      83.40
16                    161.21
32                    318.69
64                    490.05
128                   615.30
256                  1020.16
512                  2153.81
1024                 3530.01
2048                 5764.18
4096                 3299.20
8192                 5739.50
16384                8078.12
32768               11417.58
65536               13244.40
131072              16606.37
262144              17143.61
524288              15237.54
1048576             11132.24
2097152              9492.64
4194304              9882.83
