# OSU MPI Latency Test v7.3
# Size          Latency (us)
1                       0.26
2                       0.26
4                       0.25
8                       0.25
16                      0.29
32                      0.29
64                      0.31
128                     0.37
256                     0.42
512                     0.57
1024                    0.66
2048                    0.79
4096                    1.75
8192                    2.00
16384                   2.63
32768                   3.52
65536                   5.42
131072                  8.96
262144                 16.60
524288                 34.25
1048576                90.20
2097152               209.80
4194304               479.47
